Churn,Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,Recency,Frequency,Monetary,RFM_Score,IsNewUser,EngagementScore,ComplainLowSat,PreferredLoginDevice_Mobile Phone,PreferredLoginDevice_Phone,PreferredPaymentMode_COD,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Married,MaritalStatus_Single,Gender_Male
1,4.0,3,6.0,3.0,3,2,9,1,11.0,1.0,1.0,5.0,159.93,5.0,1.0,159.93,1.073,0,2.6,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1,9.0,1,8.0,3.0,4,3,7,1,15.0,0.0,1.0,0.0,120.9,0.0,1.0,120.9,1.084,0,2.7,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1
1,9.0,1,30.0,2.0,4,3,6,1,14.0,0.0,1.0,3.0,120.28,3.0,1.0,120.28,0.931,0,2.2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
1,0.0,3,15.0,2.0,4,5,8,0,23.0,0.0,1.0,3.0,134.07,3.0,1.0,134.07,0.986,1,2.2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
1,0.0,1,12.0,3.0,3,5,3,0,11.0,1.0,1.0,3.0,129.6,3.0,1.0,129.6,0.968,1,2.6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1,0.0,1,22.0,3.0,5,5,2,1,22.0,4.0,6.0,7.0,139.19,7.0,6.0,139.19,2.982,1,3.8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1,9.0,3,11.0,2.0,3,2,4,0,14.0,0.0,1.0,0.0,120.86000000000001,0.0,1.0,120.86000000000001,1.083,0,1.9,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1,9.0,1,6.0,3.0,3,2,3,1,16.0,2.0,2.0,0.0,122.93,0.0,2.0,122.93,1.492,0,2.8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,13.0,3,9.0,3.0,4,3,2,1,14.0,0.0,1.0,2.0,126.83000000000001,2.0,1.0,126.83000000000001,0.974,0,2.7,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,9.0,1,31.0,2.0,5,3,2,0,12.0,1.0,1.0,1.0,122.93,1.0,1.0,122.93,0.992,0,2.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
1,4.0,1,18.0,2.0,3,3,2,0,15.0,9.0,15.0,8.0,295.45,8.0,15.0,295.45,7.204,0,3.7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,11.0,1,6.0,3.0,4,3,10,1,13.0,0.0,1.0,0.0,153.81,0.0,1.0,153.81,1.215,0,2.7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1,0.0,1,11.0,2.0,3,3,2,1,13.0,2.0,2.0,2.0,134.41,2.0,2.0,134.41,1.404,1,2.3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
1,0.0,1,15.0,3.0,4,3,1,1,17.0,0.0,1.0,0.0,133.88,0.0,1.0,133.88,1.136,1,2.7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,9.0,3,15.0,3.0,4,2,2,0,16.0,0.0,4.0,7.0,196.19,7.0,4.0,196.19,2.41,0,2.7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,9.0,2,12.0,3.0,3,5,5,1,22.0,1.0,1.0,2.0,120.72999999999999,2.0,1.0,120.72999999999999,0.95,0,2.6,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1
1,0.0,1,12.0,3.0,4,2,2,1,18.0,1.0,1.0,0.0,129.26,0.0,1.0,129.26,1.117,1,2.9,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1,0.0,3,11.0,2.0,4,3,2,1,11.0,1.0,1.0,3.0,157.44,3.0,1.0,157.44,1.08,1,2.4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
1,0.0,1,13.0,3.0,5,3,2,1,24.0,1.0,1.0,6.0,160.74,6.0,1.0,160.74,1.072,1,3.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
1,19.0,1,20.0,3.0,3,4,10,1,18.0,1.0,4.0,3.0,149.63,3.0,4.0,149.63,2.249,0,2.6,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0.0,3,12.0,3.0,5,3,5,1,18.0,6.0,7.0,7.0,161.72,7.0,7.0,161.72,3.472,1,4.2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,20.0,1,29.0,3.0,3,2,2,0,12.0,11.0,15.0,6.0,203.12,6.0,15.0,203.12,6.841,0,4.6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,9.0,3,28.0,2.0,3,3,2,1,19.0,0.0,1.0,0.0,116.75,0.0,1.0,116.75,1.067,0,1.9,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
1,0.0,3,26.0,3.0,5,3,4,1,11.0,1.0,2.0,2.0,145.59,2.0,2.0,145.59,1.449,1,3.2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
